ordinal,source_id,name_th,url,acquisition_mode,expected_record_count,readiness_status,quality_label_th
1,f1_sradss_ppaos,ระบบฐานข้อมูล SRA-DSS,https://sradss.ppaos.com/,api_first,1083458,needs_review,ข้อมูล candidate · ต้องทบทวนความหมายก่อนใช้เป็น KPI
2,f1_pppconnext,PPPConnext BI,http://www.ppaos.com/ppaos/frontend/web/,snapshot_only,997293,needs_review,ข้อมูล candidate · ต้องทบทวนความหมายก่อนใช้เป็น KPI
3,f2_culturalmap_university,แผนที่วัฒนธรรมไทย Cultural Mapping (ภาคมหาวิทยาลัย),https://www.culturalmapthailand.info/,snapshot_only,5619,needs_review,ข้อมูล candidate · ต้องทบทวนความหมายก่อนใช้เป็น KPI
6,f2_rmutdb,ห้องสมุดนวัตกรรม RMUTDB,https://rmutdb.net/,snapshot_only,2001,needs_review,ข้อมูล candidate · ต้องทบทวนความหมายก่อนใช้เป็น KPI
7,f2_apptech_mtr,AppTech เครือข่าย มทร. / RinMP,https://rinmp.com/,api_first,621,needs_review,ข้อมูล candidate · ต้องทบทวนความหมายก่อนใช้เป็น KPI
8,f2_apptech_mru,AppTech เครือข่าย มรภ. / 38RAT,https://38rat.nstru.ac.th/,api_first,503,needs_review,ข้อมูล candidate · ต้องทบทวนความหมายก่อนใช้เป็น KPI
10,f2_learning_dashboard,Dashboard LE,https://lesuper.app/opendata/pmua/dashboard,api_first,66,needs_review,ข้อมูล candidate · ต้องทบทวนความหมายก่อนใช้เป็น KPI
11,f2_learning_area_based,Dashboard LE - Area Based,https://lesuper.app/opendata/pmua/area-based,api_first,1002,needs_review,ข้อมูล candidate · ต้องทบทวนความหมายก่อนใช้เป็น KPI
14,f3_city_capital_open_data,แพลตฟอร์มข้อมูลเปิดระดับการพัฒนาทุนของเมือง,https://evaluatethecity.netlify.app/,snapshot_only,702,needs_review,ข้อมูล candidate · ต้องทบทวนความหมายก่อนใช้เป็น KPI
16,f3_ruamthiao_lamphun,ร่วมเที่ยว (ลำพูน),https://visit-lamphun.web.app/app/homepage,snapshot_only,54,needs_review,ข้อมูล candidate · ต้องทบทวนความหมายก่อนใช้เป็น KPI
23,f3_housing_portal,Thai Housing Portal,https://thai-housing-portal.vercel.app/,api_first,7259,needs_review,ข้อมูล candidate · ต้องทบทวนความหมายก่อนใช้เป็น KPI
